id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
396483,The Secret,2012-09-05,552,1072,230,663,111,208,378,719,1160,1450,1079,410,84,25
479031,Appaloosa,2008-10-01,638,1490,93,549,21,35,117,283,777,1709,1879,671,108,24
369703,Le Chaperon rouge,2011-03-10,465,759,131,485,222,410,744,1052,1196,1067,606,226,64,40
467904,Kickboxer,1989-08-02,572,743,64,672,98,136,297,567,1182,1587,1144,406,114,98
18671771,Radin !,2016-09-28,427,358,92,494,325,528,815,1195,1347,930,353,92,26,26
368125,S.W.A.T. - Unité d'élite,2003-12-03,457,311,31,300,176,441,813,1181,1327,1059,501,110,21,10
420274,American Pie présente : Campus en folie,2007-12-10,388,238,29,281,606,722,951,1014,1015,736,401,135,32,27
485750,La Merditude des choses,2009-10-07,729,3969,87,724,18,21,45,90,259,691,1866,1901,600,149
35353241,À tous les garçons que j'ai aimés,2018-08-17,591,397,42,588,77,90,186,399,890,1667,1462,532,181,160
377556,Bright Star,2009-10-24,674,3497,112,982,31,46,135,273,539,1105,1552,1236,518,215
450271,"Aniki, mon frère",2000-11-24,725,2375,40,936,9,13,27,99,296,888,2105,1619,459,135
487251,La Folle Histoire de l'espace,1987-06-24,628,1597,53,738,33,96,175,377,771,1462,1655,789,197,96
425437,L'Immortel,2010-03-24,536,744,91,445,162,231,372,647,1107,1474,1094,402,128,37
433654,"Paris, je t'aime",2006-06-21,614,2040,56,532,39,99,167,349,954,1577,1473,736,189,72
448170,Brooklyn Affairs,2019-11-01,652,2760,99,825,16,28,74,166,560,1589,2234,808,141,43
381150,L'Homme bicentenaire,1999-12-17,660,2200,53,714,26,52,137,258,589,1276,1692,1028,412,194
15265673,"Sonic, le film",2020-02-14,478,972,142,789,160,310,614,959,1408,1274,566,151,46,176
399603,Astérix et les Vikings,2006-04-05,540,441,43,529,51,151,280,680,1641,1756,853,193,35,32
458982,Mowgli : La Légende de la jungle,2018-12-07,587,1269,71,697,35,78,197,489,1134,1805,1401,420,68,46
442420,Comme des frères,2012-11-21,637,1044,106,568,31,64,146,284,663,1337,1858,927,282,84
465922,Horton,2008-04-02,548,436,43,459,78,176,353,704,1276,1516,1065,364,103,48
389307,Il était une fois le Bronx,1993-10-01,731,2287,40,877,8,4,24,64,226,769,2074,1749,553,216
450598,Sinbad : La Légende des sept mers,2003-06-22,613,531,29,726,31,58,146,344,920,1675,1563,680,198,76
